episode,reward,steps,success
1500,88,13,1
1501,86,15,1
1502,68,14,1
1503,88,13,1
1504,88,13,1
1505,86,15,1
1506,88,13,1
1507,86,15,1
1508,88,13,1
1509,88,13,1
1510,88,13,1
1511,88,13,1
1512,88,13,1
1513,68,14,1
1514,68,14,1
1515,86,15,1
1516,68,14,1
1517,86,15,1
1518,86,15,1
1519,88,13,1
1520,88,13,1
1521,68,14,1
1522,68,14,1
1523,86,15,1
1524,88,13,1
1525,68,14,1
1526,88,13,1
1527,88,13,1
1528,88,13,1
1529,88,13,1
1530,68,14,1
1531,88,13,1
1532,88,13,1
1533,68,14,1
1534,68,14,1
1535,88,13,1
1536,88,13,1
1537,88,13,1
1538,86,15,1
1539,88,13,1
1540,48,15,1
1541,88,13,1
1542,66,16,1
1543,28,16,1
1544,68,14,1
1545,88,13,1
1546,68,14,1
1547,68,14,1
1548,88,13,1
1549,88,13,1
1550,88,13,1
1551,68,14,1
1552,68,14,1
1553,86,15,1
1554,88,13,1
1555,88,13,1
1556,88,13,1
1557,86,15,1
1558,68,14,1
1559,68,14,1
1560,88,13,1
1561,88,13,1
1562,86,15,1
1563,86,15,1
1564,68,14,1
1565,64,18,1
1566,68,14,1
1567,88,13,1
1568,66,16,1
1569,86,15,1
1570,66,16,1
1571,86,15,1
1572,86,15,1
1573,88,13,1
1574,68,14,1
1575,88,13,1
1576,88,13,1
1577,88,13,1
1578,68,14,1
1579,86,15,1
1580,88,13,1
1581,86,15,1
1582,86,15,1
1583,88,13,1
1584,86,15,1
1585,86,15,1
1586,88,13,1
1587,88,13,1
1588,88,13,1
1589,86,15,1
1590,88,13,1
1591,88,13,1
1592,88,13,1
1593,88,13,1
1594,88,13,1
1595,86,15,1
1596,88,13,1
1597,88,13,1
1598,88,13,1
1599,88,13,1
1600,68,14,1
1601,88,13,1
1602,88,13,1
1603,68,14,1
1604,88,13,1
1605,88,13,1
1606,88,13,1
1607,88,13,1
1608,86,15,1
1609,88,13,1
1610,88,13,1
1611,84,17,1
1612,88,13,1
1613,88,13,1
1614,88,13,1
1615,86,15,1
1616,88,13,1
1617,68,14,1
1618,88,13,1
1619,88,13,1
1620,86,15,1
1621,88,13,1
1622,86,15,1
1623,68,14,1
1624,88,13,1
1625,88,13,1
1626,88,13,1
1627,88,13,1
1628,88,13,1
1629,88,13,1
1630,86,15,1
1631,68,14,1
1632,88,13,1
1633,66,16,1
1634,88,13,1
1635,88,13,1
1636,88,13,1
1637,66,16,1
1638,68,14,1
1639,88,13,1
